year,iso_i,iso_j,exports,imports,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta,gdp_i,gdp_pcap_i,gdp_j,gdp_pcap_j
2005,GTM,BRB,2619372,7823118,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,26783543667.064,2068.50012859333,3819500000,13822.7417486972
2006,GTM,BRB,264018,9844,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,29744368110.9094,2251.08796275499,4217500000,15199.5675286062
2007,GTM,BRB,1096160,9527670,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,33567868322.6252,2490.74912665208,4674000000,16770.6610309974
2008,GTM,BRB,2461293,228787,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,38503862830.6878,2802.46196190125,4785000000,17092.5821408414
2009,GTM,BRB,1377443,50722,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,37125943564.9873,2651.81712283814,4465500000,15885.410181888
2010,GTM,BRB,2404308,9989,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,40676432028.5934,2852.54732650116,4530000000,16056.3709766031
2011,GTM,BRB,3278877,105689,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,46876114650.4996,3228.0457411296,4657500000,16458.3532105715
2012,GTM,BRB,1520620,86903,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,49593961141.7484,3355.03691881272,4610000000,16249.6739490585
2013,GTM,BRB,26823809,8529344,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,52996540703.5943,3522.77370621475,4677000000,16451.2793094473
2014,GTM,BRB,1866322,8131311,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,57852399963.7878,3779.64233613025,4696500000,16489.0722373387
2015,GTM,BRB,3093448,3753483,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,62186186575.7433,3994.63691288475,4715000000,16524.899501274
2016,GTM,BRB,3283091,6448142,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,66053725049.0138,4173.30166619474,4830000000,16900.0482858522
2017,GTM,BRB,3071721,6548121,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,71654134378.5299,4454.04814983548,4978000000,17391.6689084614
2018,GTM,BRB,1676264,5788082,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,73208583758.9105,4478.42464550944,5086500000,17745.2553725928
2019,GTM,BRB,2717680,8742496,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,77020015201.3201,4638.63494319511,5209000000,18148.4978451054
2020,GTM,BRB,5149483,6404244,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,77604632170.5853,4603.33961670975,4418000000,15373.8547035017
1995,GTM,CHL,19035766,11011708,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,14655404433.2771,1424.68254256258,73447063319.3034,5107.27751262395
1996,GTM,CHL,13489715,11318596,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,15674835615.3139,1487.60765839974,78039572221.6024,5349.80522678303
1997,GTM,CHL,26830919,15321970,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,17790026221.6139,1649.00160206099,84952360922.4958,5745.37107556213
1998,GTM,CHL,11773929,16995364,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,19395491992.9939,1755.84958223191,81577430181.4602,5446.57952186233
1999,GTM,CHL,15111957,20942455,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,18318412251.3642,1619.51073552531,75173794497.0494,4957.77755686759
2000,GTM,CHL,11539243,22775721,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,19288827158.9035,1664.29895827045,77860932151.9302,5074.90261608751
2001,GTM,CHL,1782554,23482336,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,18405203853.1036,1550.36036555447,70979923960.3422,4574.59471550233
2002,GTM,CHL,8542691,31035567,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,20444205991.025,1682.99450068936,69736811435.1319,4446.24937096032
2003,GTM,CHL,3367756,38948073,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,21576351798.9145,1737.87928692973,75643459839.5605,4772.56372299225
2004,GTM,CHL,7232866,44907427,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,23577286226.6407,1859.098363351,99210392857.6283,6194.85272016887
2005,GTM,CHL,11557766,114982004,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,26783543667.064,2068.50012859333,122964812046.139,7598.52887745949
2006,GTM,CHL,6268391,160628515,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,29744368110.9094,2251.08796275499,154788024805.865,9464.54850677338
2007,GTM,CHL,43417976,274323011,5756.752,5734.597,5756.752,5693.204,0,1,0,0.773,0,33567868322.6252,2490.74912665208,173605968179.267,10502.3507082138
